,OBJECTID,IncidentSi,POOFips,geometry,year,month,day,FireCause_Human,FireCause_Natural,FireCause_Undetermined,FireCause_Unknown,POOCounty_Aleutians East,POOCounty_Aleutians West,POOCounty_Anchorage,POOCounty_Bethel,POOCounty_Bristol Bay,POOCounty_Denali,POOCounty_Dillingham,POOCounty_Fairbanks North Star,POOCounty_Juneau,POOCounty_Kenai Peninsula,POOCounty_Kodiak Island,POOCounty_Kusilvak,POOCounty_Lake and Peninsula,POOCounty_Matanuska-Susitna,POOCounty_Nome,POOCounty_North Slope,POOCounty_Northwest Arctic,POOCounty_Southeast Fairbanks,POOCounty_Valdez-Cordova,POOCounty_Wade Hampton,POOCounty_Yukon-Koyukuk,POOLandown_ANCSA,POOLandown_BIA,POOLandown_BLM,POOLandown_County,POOLandown_DOD,POOLandown_DOE,POOLandown_NPS,POOLandown_Private,POOLandown_State,POOLandown_Tribal,POOLandown_USFS,POOLandown_USFWS,distance_to_blackspruce,distance_to_paperbirch,distance_to_whitespruce,distance_to_aspen,distance_to_poplar
1076,129315,178.5,02290,POINT (-287579.75220820314 1535345.554600155),2016,7,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,22170.040323195786,26266.19324313273,101.15243914689623,22697.21799238471,24284.935746424228
1077,129332,6682.1,02290,POINT (-148908.97902737817 1460480.176079638),2022,7,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,186.25291209850778,2629.0667919957395,0.0,32437.359305460403,33677.21744618607
1079,129412,51.7,02290,POINT (209014.0491474787 1844785.453011445),2016,6,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,106.09416714403376,5852.357945757904,1673.8501322625182,14942.919553941287
1080,129435,517.6,02188,POINT (-243940.80653293175 2039395.7919459734),2018,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80655.08119544109,260636.2279427961,85950.0903553787,265119.763931264,164335.68438000564
1093,129848,39639.7,02240,POINT (632490.7640029347 1446873.5728500038),2015,6,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14427.80801060947,15321.579613689493,0.0,14434.066854435934,15599.879102370629
1094,129922,410.1,02290,POINT (116164.26456057161 1797739.7871349386),2022,6,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1608.8780071243816,1299.501942627728,7215.603828086064,1564.9907560984886
1097,129957,4692.5,02290,POINT (-203055.16045957882 1645848.6187929946),2015,6,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9178.392632645502,14874.529967139959,0.0,8510.739017138487,8797.780236014072
1103,130331,94.6,02240,POINT (576264.6732801859 1758754.6456503924),2016,7,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1320.9573247214055,731.6820944533815,3143.2903841028105,9553.880900745384
1111,130683,295.2,02290,POINT (-209611.31094764292 1535592.3145616245),2018,6,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2889.6131474836075,4444.88037873412,0.0,5013.795593321191,6038.505727765948
1113,130773,317.3,02290,POINT (-245904.89801909143 1512562.2494941833),2018,6,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1024.250787282408,0.0,1918.937699134846,4652.378219445696,3943.369518067541
1118,131175,13.1,02180,POINT (-536348.8945331719 1776034.363721157),2021,6,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,229716.15706901992,230239.50076612487,67410.95252586089,356949.2017704627,315467.5317248019
1122,131272,54.8,02290,POINT (407624.2775537336 1977672.4585019934),2022,7,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,240.11502877862503,272.2482254051211,12255.796564605813,12697.145809566831
1124,131350,20922.9,02290,POINT (322071.9147034309 1780554.430712428),2019,6,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,2212.7940887526956,5366.017857565143,7631.96343734815,12863.746946332778
1129,131473,40.0,02068,POINT (252638.73387788588 1562479.058115225),2017,5,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,336.8784702468998,3735.3022878990155,0.0,22408.0409832898,23038.763736493678
1137,131887,559.1,02290,POINT (108929.73883242447 1856408.9430454683),2016,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,45562.4581613685,275.11404311931574,49711.23000816256,1730.7152169243946
1139,131910,12.0,02122,POINT (193843.15684986522 1198472.3859764931),2016,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61.496947222483605,544.158034796196,0.0,17263.262840157076,26532.56123082625
1140,131919,21.0,02068,POINT (251016.04306556605 1539198.0687660896),2021,3,31,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1640.268704710159,5191.679080968326,0.0,43752.134344868406,43852.5330282382
1141,131929,5167.0,02070,POINT (-203780.26038818157 988140.6871091478),2015,6,22,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78397.5143044775,102339.05245622565,740.3992272562365,194346.23457821138,80345.50742844197
1142,131972,36.5,02290,POINT (-80102.75685355948 1532914.5043597606),2018,6,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,568.4905805707031,1121.1767412518682,0.0,61784.92240082895,61915.26270413661
1146,132190,653.9,02290,POINT (163991.09094859447 1666578.1848068945),2021,6,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,81.26668750220628,1112.5494629981033,0.0,683.8620590444979,1282.7809022569654
1156,132925,673.4,02050,POINT (-105426.12471369743 1287098.8501177204),2019,7,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,708.784728188159,1327.468724581459,1338.9959880687206,1664.6906473992667,12384.822940753356
1158,132975,12.9,02290,POINT (36355.657638099765 1501156.3694151503),2015,7,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,210.8272689912917,487.9714744434436,0.0,1704.6298735679352,1622.1177620518913
1164,133414,2513.9,02290,POINT (10534.94211210006 1515630.9634411747),2022,6,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,882.7321542699589,325.12185289943596,0.0,10157.599252251137,16565.68809336075
1165,133475,29846.0,02070,POINT (-138919.1360170835 1141117.11179775),2019,7,12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50806.868428085596,80854.94097691005,0.0,82511.5375959897,69156.08513499855
1167,133521,1427.1,02290,POINT (-24862.759727617387 1378257.4242638226),2018,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,281.6704261891007,198.3757093427432,347.8275367767243,1263.1522702492275
1170,133586,28.2,02290,POINT (-55288.85271516595 1495249.4870532847),2021,6,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,845.5150984630548,3764.0202183937054,0.0,45339.70100373682,44699.99534779689
1172,133626,113.1,02188,POINT (-420307.339789494 2004355.976906541),2018,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,176627.45291342022,324229.7730586054,44749.11297304103,327638.07311541773,270934.7391446868
1177,133883,888.0,02290,POINT (-5437.933890510825 1397831.418678987),2014,6,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,505.05134761969697,0.0,2521.700464063714,266.09633030397697,2754.7498379936956
1183,134359,32.7,02188,POINT (-404442.37634093076 1788682.0720286237),2019,6,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,162571.74421462647,162462.86758365977,32814.38414760752,225081.01559876508,183118.36626741115
1187,134431,577.2,02290,POINT (2759.35078816762 1700901.204476335),2016,7,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,433.06947293626524,300.24564253357005,18400.18662553388,6845.765904696982,17186.848527173075
1189,134572,417.5,02290,POINT (520124.67820054136 1855544.6827259744),2021,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,5097.319935659071,1553.069759796238,859.2401838527111,3169.3997285009305
1195,134712,75.8,02050,POINT (-273729.2639309265 1276476.705554332),2018,6,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,236.12326374702334,280.83554436227894,38201.229869310664,25912.549175239365
1196,134719,970.0,02290,POINT (-80377.33875173013 1483047.652272134),2015,6,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,320.0255379526877,458.4439238960903,0.0,39578.41120098741,39198.10942280227
1197,134739,42767.0,02050,POINT (-94479.73632354056 1281143.419876446),2015,6,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5801.563157771547,3161.574595676377,0.0,5932.568966697837,15732.91200752125
1199,134789,10536.8,02290,POINT (-142973.65767760537 1561325.797882938),2022,6,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1004.3398723859339,453.1064724705383,0.0,18883.320115199283,11631.635151414004
1201,134884,5961.3,02164,POINT (-66091.43757609994 1084775.4894208615),2019,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38653.81470763947,34156.83148630056,2875.735298202535,167885.36034726343,147902.72486570096
1202,134908,311.1,02290,POINT (60790.06303579579 1532759.7148676729),2018,6,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,382.53718105086006,232.8297375036084,0.0,637.041285827148,532.4003616387281
1205,135179,278.8,02090,POINT (354534.1250592722 1658846.3936096048),2021,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46.81152884511649,37.13035339997739,1005.374856949007,269.3828620317883,28334.81786983303
1208,135205,122.3,02090,POINT (330201.0687262629 1692863.546102203),2022,7,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,103.85850550427712,139.4257108347293,343.23045835092523,0.0,30826.656171933006
1213,135431,21304.5,02270,POINT (-373525.92353541846 1362334.0701243815),2016,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17647.035439388314,17658.607240303798,0.0,30488.626394276635,30097.65513529212
1214,135462,40450.0,02290,POINT (516818.3994731403 1739042.3679154443),2021,6,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1572.8711644554533,552.48549696345,1438.8784069220762,5211.630809982539
1215,135489,66662.0,02240,POINT (373866.92060465354 1581027.802668167),2022,5,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3026.6167499402477,3170.0605416141593,0.0,2532.421841335228,23900.07253988454
1216,135512,101.0,02290,POINT (-34259.14622183403 1470227.1852103248),2015,6,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1461.953706434773,0.0,238.10788007017842,16119.920132868654,15033.404843342963
1217,135579,12.0,02180,POINT (-451443.6824407817 1676021.8612769435),2016,7,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104213.44725260802,104539.68572362825,2427.060691458238,234873.27150991495,235585.5590959103
1218,135625,19.3,02290,POINT (-67862.99264886224 1790985.7707514677),2022,7,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,9051.121177997335,597.8952694404885,13156.049164703822,530.5999540764942
1219,135657,44.4,02090,POINT (290061.2163151634 1684283.4360109202),2020,6,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,347.3799346706953,635.7184220023117,0.0,241.98558329384937,23957.45981665157
1220,135668,6771.4,02290,POINT (-240093.90780567573 1755763.3695188286),2015,6,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,62566.35559351498,65048.947138038144,3770.815637080021,65250.40172646069,64322.441801009605
1221,135871,4230.0,02290,POINT (-178379.5225519062 1609969.6177202256),2022,6,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1499.955786258007,2013.772922776841,0.0,8340.808098331632,405.4075063819611
1223,135940,20.0,02290,POINT (-46758.847328129064 1648002.5129992485),2016,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,161.7475565267279,0.0,2466.1896457782505,5188.503351605143,4074.915688127171
1224,136004,49527.8,02068,POINT (111819.27336268358 1505531.0936120949),2019,6,27,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,641.2570559716355,0.0,240.3541211978739,3249.4867452517688,1737.748086288486
1235,136368,1236.9,02090,POINT (367263.80868453026 1687004.6745372366),2022,6,26,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,622.517729831069,301.8389095717178,825.2589650670633,51889.101431954914
1243,136622,288.1,02188,POINT (-282231.536393638 2031427.7232423879),2019,7,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79560.56586456006,265205.57964705373,65609.09495359975,269552.570427194,186648.1537980422
1248,136718,54.4,02290,POINT (36574.51828826138 1418749.9936542101),2021,6,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.7810834380686797,2734.6894383555973,1216.9049570464617,0.0,3071.526556593498
1250,136925,200.0,02188,POINT (-140077.76226074624 1849272.5835060677),2014,8,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,566.39123137327,63831.535115423736,5966.678475670751,61450.87055798539,1616.6742297867902
1251,136950,14.5,02290,POINT (-202499.3617644909 1377608.7464865774),2022,7,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1546.4161691330041,2556.6095863796713,0.0,42107.65957502667,41572.54293141639
1252,137030,48544.5,02240,POINT (372988.559361817 1582437.7561950565),2017,4,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2190.1897613969945,2579.2754678155206,0.0,1724.5536414998935,22403.567109589796
1257,137255,34740.5,02240,POINT (391054.1773251861 1572592.122619535),2019,4,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2954.3776383271943,4312.043557264296,0.0,2654.0634335409973,16724.224863307925
1262,137425,254.2,02050,POINT (-400816.62624783063 1234105.4497791175),2021,5,25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45105.9230025114,40989.951406163986,45752.62472982328,92389.62218568815,57489.663214913766
1267,137536,39.2,02290,POINT (10189.967885954014 1737399.3941466017),2020,6,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1065.2472353880046,13365.57561669104,2018.9403558750103,20060.452006587966
1271,137692,2697.9,02180,POINT (-369666.367939175 1492554.664468745),2015,6,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10334.524891026726,20106.694402504,2893.8694034372857,44603.92246506624,45155.76189863927
1278,137907,494.7,02290,POINT (137330.4914151391 1710401.0003186169),2016,7,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,87.95065631553898,4536.117886518646,465.6630360627685,37365.174527678224
1279,137912,329.5,02261,POINT (433987.90860068955 1318867.0235675615),2015,6,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10188.893114969345,2510.516707330551,1905.0880714735006,8831.485041687043,862.9454656109195
1280,137953,5083.5,02158,POINT (-393133.73118207674 1361480.933880736),2019,6,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11407.597917979265,11605.76223064531,0.0,50033.074744805555,49689.34235867324
1282,138016,20.0,02290,POINT (425486.5993501879 1857140.0812350246),2017,7,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,18158.81236795435,4584.255128972703,707.244069211982,0.0,741.9799342516316
1283,138020,52.4,02290,POINT (123351.36339098291 1654881.2495841535),2015,7,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,79.58845621605693,720.0158181855752,1278.8116872342382,5977.905068106651
1284,138025,2583.5,02270,POINT (-467966.30220717436 1430348.5050047683),2017,6,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12870.069008656903,23450.08145043965,2183.956905598151,113042.76609725041,115257.16443500589
1290,138297,100.0,02020,POINT (271338.738459218 1214055.9663500527),2015,8,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5617.130534928324,912.8098832392157,2360.392782053419,2086.5419596258903,1061.693342829365
1291,138303,2192.0,02290,POINT (-135112.95971293485 1577785.4912508612),2022,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,257.38898138781303,1703.4148948395512,0.0,32748.43529136796,29191.316874185646
1296,138486,2158.3,02290,POINT (15820.918128357931 1632414.3804169658),2022,7,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,493.1567559634702,750.6947303679053,0.0,4113.281697294915,639.844526372073
1297,138563,108.0,02068,POINT (257543.4484700401 1553842.2298460559),2015,5,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,787.9414297271044,9808.111442327738,0.0,31194.100229607753,31289.91102354875
1300,138667,21417.5,02290,POINT (-53566.66575522627 1776980.764290347),2018,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2630.966423231433,27.841641128232695,4019.3265526147434,623.6547786369474
1305,138894,1676.6,02290,POINT (-12353.731316626527 1476083.4303347433),2016,5,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,352.84515482780677,158.329738151721,0.0,5940.985008559764,5212.856353626466
1306,138958,408.2,02290,POINT (210686.3694393285 1826263.7027419726),2017,7,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5356.167574005405,5725.367066096756,732.1628414302618,0.0,2861.5576964718925
1308,138962,178.8,02050,POINT (-494462.6000449128 1273129.0654463181),2019,6,22,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38147.40912521377,39332.93205437946,50856.734785367415,177938.84775445424,147290.19911424295
1310,139062,981.5,02240,POINT (607570.4196053009 1572170.497978537),2019,5,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,494.3267278261615,1234.927643775634,0.0,170.6219246829354,57243.639378719876
1317,139348,22.0,02240,POINT (574680.6884405733 1671094.868553638),2015,6,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,979.4026103981656,1464.9831058073598,0.0,1605.4189687502947,48625.547709681836
1319,139491,2142.8,02290,POINT (-115126.31454043681 1833279.2384070808),2017,4,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3630.5395882111447,48683.202436112246,8962.388680736045,46310.62773474132,7725.530399077254
1320,139536,962.6,02050,POINT (-155122.4485627104 1266537.2706900244),2019,7,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4814.5760262977265,4566.366597205767,0.0,2724.326538320463,3177.6443754266693
1322,139660,16107.0,02290,POINT (443374.9210937901 1740107.3266692406),2015,6,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,874.2939703115452,364.0608346803062,5237.106298241005,14154.710959052194
1329,139923,32.7,02290,POINT (440394.2546094345 1756217.5406539706),2016,6,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,340.6438957127952,1638.96148482033,269.2546094307909,0.0,454.6728689364069
1333,140048,79.2,02188,POINT (-48558.52771699883 1864698.529246203),2015,7,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,85058.17100249341,2601.664329474322,88058.60690516552,286.01700296431534
1334,140052,20.9,02068,POINT (156681.20983231516 1554846.3331813358),2015,7,24,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63.09779506083557,278.6668186641764,0.0,1074.804033612668,561.3687291066547
1342,140335,536.12,02290,POINT (411271.43855132256 1763949.5392917728),2021,6,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,492.1111737018263,698.1871083949986,2048.903648912185,22018.78511466844
1344,140355,287.1,02290,POINT (151181.9149190964 1805724.035325288),2021,6,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,443.71868360396115,6855.1385907462045,2548.2125130739237,19976.61289539284
1347,140573,11473.6,02240,POINT (446184.1839871656 1586058.2746439583),2015,6,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,654.1053072369936,1569.9185650682455,0.0,115.8343122593829,8551.56924786924
1348,140602,1125.2,02290,POINT (424964.07868635043 1968793.5488950345),2022,7,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8780.298443205382,204.2871273599442,10770.123802240592,976.1338784077924
1353,140803,80.0,02050,POINT (-157009.48309791434 1280720.9726059444),2015,6,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3604.2153211886302,2156.9886575262585,0.0,809.7473969542965,2375.407477266093
1354,140823,1661.0,02290,POINT (-27825.80807274037 1708872.2134546433),2019,5,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,98.14555763023925,2059.7748533900544,5298.533859670185,3854.235428385576,29582.99882405342
